"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","80.232.93.182","DNS","88","Standard query 0x0d18 A contile.services.mozilla.com"
"2","0.000025788","10.0.2.15","80.232.93.182","DNS","88","Standard query 0x671e AAAA contile.services.mozilla.com"
"3","0.012167172","80.232.93.182","10.0.2.15","DNS","104","Standard query response 0x0d18 A contile.services.mozilla.com A 34.117.237.239"
"4","0.012167593","80.232.93.182","10.0.2.15","DNS","172","Standard query response 0x671e AAAA contile.services.mozilla.com SOA ns-679.awsdns-20.net"
"5","0.017114322","10.0.2.15","34.117.237.239","TCP","74","37684  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=607033544 TSecr=0 WS=128"
"6","0.031091108","34.117.237.239","10.0.2.15","TCP","60","443  >  37684 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"7","0.031126314","10.0.2.15","34.117.237.239","TCP","54","37684  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"8","0.032934005","10.0.2.15","34.117.237.239","TLSv1.3","571","Client Hello (SNI=contile.services.mozilla.com)"
"9","0.033085088","34.117.237.239","10.0.2.15","TCP","60","443  >  37684 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"10","0.051471276","34.117.237.239","10.0.2.15","TLSv1.3","1454","Server Hello, Change Cipher Spec"
"11","0.051471567","34.117.237.239","10.0.2.15","TCP","1454","443  >  37684 [PSH, ACK] Seq=1401 Ack=518 Win=65535 Len=1400 [TCP PDU reassembled in 14]"
"12","0.051494469","10.0.2.15","34.117.237.239","TCP","54","37684  >  443 [ACK] Seq=518 Ack=1401 Win=63000 Len=0"
"13","0.051511481","10.0.2.15","34.117.237.239","TCP","54","37684  >  443 [ACK] Seq=518 Ack=2801 Win=63000 Len=0"
"14","0.051590640","34.117.237.239","10.0.2.15","TLSv1.3","1769","Application Data"
"15","0.051595880","10.0.2.15","34.117.237.239","TCP","54","37684  >  443 [ACK] Seq=518 Ack=4516 Win=61320 Len=0"
"16","0.144225568","10.0.2.15","80.232.93.182","DNS","74","Standard query 0x64c2 A r3.o.lencr.org"
"17","0.144286623","10.0.2.15","80.232.93.182","DNS","74","Standard query 0x8bc5 AAAA r3.o.lencr.org"
"18","0.148520053","80.232.93.182","10.0.2.15","DNS","176","Standard query response 0x64c2 A r3.o.lencr.org CNAME o.lencr.edgesuite.net CNAME a1887.dscq.akamai.net A 84.208.4.147 A 84.208.4.168"
"19","0.148597068","80.232.93.182","10.0.2.15","DNS","200","Standard query response 0x8bc5 AAAA r3.o.lencr.org CNAME o.lencr.edgesuite.net CNAME a1887.dscq.akamai.net AAAA 2a02:26f0:a300::1721:771b AAAA 2a02:26f0:a300::1721:7739"
"20","0.149094431","10.0.2.15","84.208.4.147","TCP","74","55270  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1008805033 TSecr=0 WS=128"
"21","0.152657214","10.0.2.15","80.232.93.182","DNS","95","Standard query 0x50ca A content-signature-2.cdn.mozilla.net"
"22","0.152684234","10.0.2.15","80.232.93.182","DNS","95","Standard query 0x5dc4 AAAA content-signature-2.cdn.mozilla.net"
"23","0.154376489","80.232.93.182","10.0.2.15","DNS","255","Standard query response 0x50ca A content-signature-2.cdn.mozilla.net CNAME content-signature-chains.prod.autograph.services.mozaws.net CNAME prod.content-signature-chains.prod.webservices.mozgcp.net A 34.160.144.191"
"24","0.154501263","80.232.93.182","10.0.2.15","DNS","267","Standard query response 0x5dc4 AAAA content-signature-2.cdn.mozilla.net CNAME content-signature-chains.prod.autograph.services.mozaws.net CNAME prod.content-signature-chains.prod.webservices.mozgcp.net AAAA 2600:1901:0:92a9::"
"25","0.154847061","10.0.2.15","34.160.144.191","TCP","74","53902  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2278315621 TSecr=0 WS=128"
"26","0.161273806","84.208.4.147","10.0.2.15","TCP","60","80  >  55270 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"27","0.161315625","10.0.2.15","84.208.4.147","TCP","54","55270  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"28","0.161461729","10.0.2.15","84.208.4.147","OCSP","469","Request"
"29","0.161574821","84.208.4.147","10.0.2.15","TCP","60","80  >  55270 [ACK] Seq=1 Ack=416 Win=65535 Len=0"
"30","0.173297780","84.208.4.147","10.0.2.15","OCSP","942","Response"
"31","0.173335320","10.0.2.15","84.208.4.147","TCP","54","55270  >  80 [ACK] Seq=416 Ack=889 Win=63936 Len=0"
"32","0.174733353","34.160.144.191","10.0.2.15","TCP","60","443  >  53902 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"33","0.174756736","10.0.2.15","34.160.144.191","TCP","54","53902  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"34","0.174957723","10.0.2.15","34.160.144.191","TLSv1.2","270","Client Hello (SNI=content-signature-2.cdn.mozilla.net)"
"35","0.175070134","34.160.144.191","10.0.2.15","TCP","60","443  >  53902 [ACK] Seq=1 Ack=217 Win=65535 Len=0"
"36","0.185029095","10.0.2.15","34.160.144.191","TCP","54","53902  >  443 [FIN, ACK] Seq=217 Ack=1 Win=64240 Len=0"
"37","0.185295645","34.160.144.191","10.0.2.15","TCP","60","443  >  53902 [ACK] Seq=1 Ack=218 Win=65535 Len=0"
"38","0.191972679","34.160.144.191","10.0.2.15","TLSv1.2","2854","Server Hello"
"39","0.192000982","10.0.2.15","34.160.144.191","TCP","54","53902  >  443 [RST] Seq=218 Win=0 Len=0"
"40","0.193724745","10.0.2.15","34.117.237.239","TLSv1.3","118","Change Cipher Spec, Application Data"
"41","0.193964976","34.117.237.239","10.0.2.15","TCP","60","443  >  37684 [ACK] Seq=4516 Ack=582 Win=65535 Len=0"
"42","0.194477147","10.0.2.15","34.117.237.239","TLSv1.3","224","Application Data"
"43","0.194527110","10.0.2.15","34.117.237.239","TLSv1.3","235","Application Data"
"44","0.194598334","34.117.237.239","10.0.2.15","TCP","60","443  >  37684 [ACK] Seq=4516 Ack=752 Win=65535 Len=0"
"45","0.194598444","34.117.237.239","10.0.2.15","TCP","60","443  >  37684 [ACK] Seq=4516 Ack=933 Win=65535 Len=0"
"46","0.214606935","34.117.237.239","10.0.2.15","TLSv1.3","671","Application Data, Application Data, Application Data"
"47","0.214651118","10.0.2.15","34.117.237.239","TCP","54","37684  >  443 [ACK] Seq=933 Ack=5133 Win=62780 Len=0"
"48","0.215227699","10.0.2.15","34.117.237.239","TLSv1.3","85","Application Data"
"49","0.215343346","34.117.237.239","10.0.2.15","TCP","60","443  >  37684 [ACK] Seq=5133 Ack=964 Win=65535 Len=0"
"50","0.298235530","10.0.2.15","80.232.93.182","DNS","85","Standard query 0x9d32 A push.services.mozilla.com"
"51","0.298263492","10.0.2.15","80.232.93.182","DNS","85","Standard query 0x3231 AAAA push.services.mozilla.com"
"52","0.302531618","80.232.93.182","10.0.2.15","DNS","139","Standard query response 0x9d32 A push.services.mozilla.com CNAME autopush.prod.mozaws.net A 34.107.243.93"
